Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
114.829,369,114,829000000,base_link,-0.0008814851391224657,-5.389516292310549e-05,-0.6649281182796075,-0.746906833280029,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0003513356205075979,-0.00028307142201811097,-0.00180018600076437,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.188958570752981e-15,9.7085835,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.089,370,115,89000000,base_link,-0.0008797637122740334,-5.5201878786424817e-05,-0.6648365677441518,-0.746988327324289,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00035258778370916843,-0.0002679099561646583,-0.0017823009984567761,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1853556659931232e-15,9.67916355,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.329,371,115,329000000,base_link,-0.0008753800833161781,-5.3831497546633464e-05,-0.6647536432298974,-0.7470621290257309,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00033145491033792496,-0.00027142534963786624,-0.001794388983398676,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.2045711580456967e-15,9.83606995,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.589,372,115,589000000,base_link,-0.0008749306247503243,-5.0364901078763384e-05,-0.6646611921450785,-0.7471443847182831,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00033788091968744993,-0.0002813348546624186,-0.0018033075612038374,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1325130628485461e-15,9.24767095,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
115.829,373,115,829000000,base_link,-0.0008737866884852357,-4.938859074378137e-05,-0.6645763659438768,-0.7472198390610493,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00033769826404750347,-0.00026987947057932637,-0.0017970125190913677,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1985663167792674e-15,9.7870367,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.09,374,116,90000000,base_link,-0.000873308918508295,-4.738871440614244e-05,-0.6644830989129697,-0.7473027809026666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00033379311207681894,-0.000292756478302181,-0.0017881444655358791,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1901595390062667e-15,9.71839015,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.33,375,116,330000000,base_link,-0.0008731129756298791,-4.7639801137379806e-05,-0.6643998332527502,-0.747376810570076,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00037364650052040815,-0.0002670494141057136,-0.0017794503364712,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1781498564734082e-15,9.62032365,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.59,376,116,590000000,base_link,-0.0008719055524524168,-4.616508025878384e-05,-0.664308066844508,-0.7474583800953771,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0003182303626090288,-0.00029473670292645715,-0.0018046016339212656,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1937624437661242e-15,9.7478101,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
116.83,377,116,830000000,base_link,-0.0008675930576338175,-4.798599105742427e-05,-0.664224878045188,-0.7475323112518187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00033288029953837395,-0.0002567175542935731,-0.0017609467031434178,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.164939205687264e-15,9.5124505,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
117.09,378,117,90000000,base_link,-0.0008669007113275345,-4.8586188577560175e-05,-0.6641322400479148,-0.7476146158626634,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00032915512565523386,-0.00026771263219416163,-0.0018047866178676486,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.1709440469536932e-15,9.56148375,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
